Neighbourhood,Total Population
West Humber-Clairville,33312
Mount Olive-Silverstone-Jamestown,32954
Thistletown-Beaumond Heights,10360
Rexdale-Kipling,10529
Elms-Old Rexdale,9456
Kingsview Village-The Westway,22000
Willowridge-Martingrove-Richview,22156
Humber Heights-Westmount,10948
Edenbridge-Humber Valley,15535
Princess-Rosethorn,11051
Eringate-Centennial-West Deane,18588
Markland Wood,10554
Etobicoke West Mall,11848
Islington-City Centre West,43965
Kingsway South,9271
Stonegate-Queensway,25051
Mimico,33964
New Toronto,11463
Long Branch,10084
Alderwood,12054
Humber Summit,12416
Humbermede,15545
Pelmo Park-Humberlea,10722
Black Creek,21737
Glenfield-Jane Heights,30491
Downsview-Roding-CFB,35052
York University Heights,27593
Rustic,9941
Maple Leaf,10111
Brookhaven-Amesbury,17757
Yorkdale-Glen Park,14804
Englemount-Lawrence,22372
Clanton Park,16472
Bathurst Manor,15873
Westminster-Branson,26274
Newtonbrook West,23831
Willowdale West,16936
Lansing-Westgate,16164
Bedford Park-Nortown,23236
St.Andrew-Windfields,17812
Bridle Path-Sunnybrook-York Mills,9266
Banbury-Don Mills,27695
Victoria Village,17510
Flemingdon Park,21933
Parkwoods-Donalda,34805
Pleasant View,15818
Don Valley Village,27051
Hillcrest Village,16934
Bayview Woods-Steeles,13154
Newtonbrook East,16097
Willowdale East,50434
Bayview Village,21396
Henry Farm,15723
O'Connor-Parkview,18675
Thorncliffe Park,21108
Leaside-Bennington,16828
Broadview North,11499
Old East York,9233
Danforth-East York,17180
Woodbine-Lumsden,7865
Taylor-Massey,15683
East End-Danforth,21381
The Beaches,21567
Woodbine Corridor,12541
Greenwood-Coxwell,14417
Danforth,9666
Playter Estates-Danforth,7804
North Riverdale,11916
Blake-Jones,7727
South Riverdale,27876
Cabbagetown-South St.James Town,11669
Regent Park,10803
Moss Park,20506
North St.James Town,18615
Church-Yonge Corridor,31340
Bay Street Corridor,25797
Waterfront Communities-The Island,65913
Kensington-Chinatown,17945
University,7607
Palmerston-Little Italy,13826
Trinity-Bellwoods,16556
Niagara,31180
Dufferin Grove,11785
Little Portugal,15559
South Parkdale,21849
Roncesvalles,14974
High Park-Swansea,23925
High Park North,22162
Runnymede-Bloor West Village,10070
Junction Area,14366
Weston-Pellam Park,11098
Corso Italia-Davenport,14133
Dovercourt-Wallace Emerson-Juncti,36625
Wychwood,14349
Annex,30526
Casa Loma,10968
Yonge-St.Clair,12528
Rosedale-Moore Park,20923
Mount Pleasant East,16775
Yonge-Eglinton,11817
Forest Hill South,10732
Forest Hill North,12806
Lawrence Park South,15179
Mount Pleasant West,29658
Lawrence Park North,14607
Humewood-Cedarvale,14365
Oakwood Village,21210
Briar Hill-Belgravia,14257
Caledonia-Fairbank,9955
Keelesdale-Eglinton West,11058
Rockcliffe-Smythe,22246
Beechborough-Greenbrook,6577
Weston,17992
Lambton Baby Point,7985
Mount Dennis,13593
Steeles,24623
L'Amoreaux,43993
Tam O'Shanter-Sullivan,27446
Wexford/Maryvale,27917
Clairlea-Birchmount,26984
Oakridge,13845
Birchcliffe-Cliffside,22291
Cliffcrest,15935
Kennedy Park,17123
Ionview,13641
Dorset Park,25003
Bendale,29960
Agincourt South-Malvern West,23757
Agincourt North,29113
Milliken,26572
Rouge,46496
Malvern,43794
Centennial Scarborough,13362
Highland Creek,12494
Morningside,17455
West Hill,27392
Woburn,53485
Eglinton East,22776
Scarborough Village,16724
Guildwood,9917
